DI,DII,C1,C2,C3,C4,C5,C6,C6',C7,C7',C8,C9,yearMonth,,,,
88.9,1,107.2,82.6,114.2,123.1,134,8.8,8.8,14.6,14.6,118772,1.4,19905,8.8,14.6,1,好景気
88.9,1,107.4,82.3,115.9,122.9,137.5,10.6,10.6,11.2,11.2,121723,1.4,19906,10.6,11.2,1,好景気
66.7,1,108.5,83.1,114.4,121.6,137.4,8.6,8.6,13.1,13.1,123256,1.5,19907,8.6,13.1,1,好景気
66.7,1,109.1,84,117.3,121.2,134.8,8.2,8.2,9.7,9.7,124788,1.4,19908,8.2,9.7,1,好景気
44.4,0,108.5,83.7,111.5,121.2,134.5,8.1,8.1,10,10,126321,1.4,19909,8.1,10,0,不景気
55.6,1,110.6,85.2,118.4,121.5,137.9,7.6,7.6,12.8,12.8,126947,1.4,199010,7.6,12.8,1,好景気
77.8,0,109.8,84.5,115,122,136.7,7.1,7.1,10.4,10.4,127573,1.5,199011,7.1,10.4,0,不景気
83.3,0,109.8,84.5,117.3,122.4,137.8,6.3,6.3,11.7,11.7,128199,1.4,199012,6.3,11.7,0,不景気
27.8,1,110.8,85.3,115.5,119.8,137.2,7.5,7.5,12.8,12.8,127256,1.4,19911,7.5,12.8,1,好景気
44.4,1,111,85.5,115.8,119,137.5,5.9,5.9,10.2,10.2,126312,1.4,19912,5.9,10.2,1,好景気
22.2,0,109.8,85.2,112.8,117.3,137.1,6.2,6.2,6.4,6.4,125369,1.4,19913,6.2,6.4,0,不景気
11.1,1,110.3,85.1,114.8,116.9,138.2,5.9,5.9,5.4,5.4,124071,1.4,19914,5.9,5.4,1,好景気
50,1,111.4,86,115,115.5,139.4,7.2,7.2,4.3,4.3,122774,1.4,19915,7.2,4.3,1,好景気
16.7,0,108,83.8,111.2,114.7,136.2,6.9,6.9,2.1,2.1,121476,1.4,19916,6.9,2.1,0,不景気
55.6,1,110.6,85.5,117.1,114,135.5,8,8,4.5,4.5,120825,1.4,19917,8,4.5,1,好景気
22.2,0,109,84.1,117.1,112.8,136,7.4,7.4,3.4,3.4,120173,1.4,19918,7.4,3.4,0,不景気
33.3,0,108.9,84.2,116.7,111.8,135.5,6.1,6.1,1.1,1.1,119522,1.4,19919,6.1,1.1,0,不景気
0,0,108.2,83.7,115.7,111.5,130.5,5.3,5.3,0.2,0.2,118485,1.4,199110,5.3,0.2,0,不景気
